,K_GRM,r_GRM,p_GRM,a_GRM,K_logi,C0_logi,r_logi,peak_GRM,peak_logi,rs_grm,rs_logi,exp_m,exp_ci_h,exp_ci_l,pvalue,rsquare,enddate,peakdate,startdate,density,population,endcount,travel_hubei,travel_wuhan,days_start_peak
Guangxi,250.80832418784982,4.637890573858088,0.2249212397410829,3.9194857493338784,292.2852901547032,28.1111037660042,0.1825094511114399,2020-02-02,2020-02-01,0.6841075229594239,0.6852923519076111,-0.14367443712713784,-0.1018380526427721,-0.1855108216115036,1.6846794793138598e-11,0.7620435982889262,2020-02-19 00:00:00,2020-01-31 00:00:00,2020-01-20,190.0,48850000.0,252.0,48.66,20.04,12.5
Shaanxi,248.58054816784428,1.112118680516065,0.6789261778701055,1.0228851775005725,258.4484328128146,20.396413597278503,0.23799263471980378,2020-02-01,2020-02-01,0.6995739345206007,0.6995340744587334,-0.1705852493085964,-0.1404002850241676,-0.2007702135930252,1.6292438875203423e-28,0.8742314022956263,2020-02-18 00:00:00,2020-02-01 00:00:00,2020-01-22,185.0,38354400.0,245.0,82.0,18.1,10.0
Yunnan,169.41074382926814,11.861774785837238,0.9999982606589367,0.017890743578043253,160.57996398294674,6.219621956095243,0.3312074548014385,2020-01-29,2020-01-30,0.6368297457428478,0.5718727691794447,-0.19542031423435557,-0.14608738295848467,-0.24475324551022648,8.225325191663787e-15,0.7548685233028372,2020-02-19 00:00:00,2020-01-29 00:00:00,2020-01-20,109.0,48005000.0,174.0,34.49,14.43,9.5
Hainan,168.42627116722653,2.4939714912358495,0.2712571356546263,8.065300023625158,189.27938026238272,11.928620569879216,0.18837340511417924,2020-02-07,2020-02-03,0.6518228957970156,0.6007462200790703,-0.08353743902764253,-0.03830186522735182,-0.12877301282793324,0.0002950916004029496,0.49214257491168045,2020-02-17 00:00:00,2020-02-05 00:00:00,2020-01-20,224.0,9257600.0,168.0,20.85,10.21,16.0
Guizhou,150.26410847528464,0.6648320208102366,0.6120496915533369,8.39381841649547,156.1442973205601,1.6655410283790735,0.26674432507836815,2020-02-10,2020-02-06,0.7495377555128949,0.7205651470324284,-0.15024081257379535,-0.11198181104113014,-0.18849981410646055,1.3951287880694362e-14,0.784890817256664,2020-02-18 00:00:00,2020-02-09 00:00:00,2020-01-20,200.0,35800000.0,146.0,53.43,17.81,19.0
Tianjin,138.4187860029053,0.8563918181750614,0.5260028852780629,2.6181637457520597,145.9602204661145,8.401556537737035,0.18594754581887968,2020-02-06,2020-02-05,0.4520804496211597,0.45372412308277665,-0.11073046512740675,-0.057034302335272305,-0.1644266279195412,5.3031675270299056e-05,0.4473775721446148,2020-02-24 00:00:00,2020-02-04 00:00:00,2020-01-21,1306.0,15568700.0,136.0,10.68,4.72,15.5
Shanxi,129.5085484877806,1.7213551208420486,0.3792064363553582,7.4435863829173385,141.81207975692226,5.77115524631219,0.25503963154341786,2020-02-05,2020-02-02,0.8491876519550237,0.832208984247893,-0.19317291059799074,-0.16976946168034204,-0.21657635951563944,7.220335220574736e-59,0.9169784230321075,2020-02-15 00:00:00,2020-02-03 00:00:00,2020-01-21,212.0,37023500.0,133.0,31.35,14.34,13.5
Liaoning,123.79136981546806,2.0193100480043826,0.34539629022538165,2.9218601035284073,137.28627769066654,15.301704312664254,0.21807646903479713,2020-02-01,2020-02-01,0.6201433699982478,0.6199654384158522,-0.1322741923157382,-0.09146320448525286,-0.17308518014622354,2.1165391179361525e-10,0.7405159745983461,2020-02-16 00:00:00,2020-01-29 00:00:00,2020-01-22,291.0,43689000.0,125.0,16.93,8.62,10.0
Gansu,86.96709231305464,2.1849344822020247,0.2235395286950077,25.806235721437293,103.0279735698835,10.310118249823702,0.22553084200974824,2020-02-08,2020-02-02,0.6602707882937213,0.6308617896332711,-0.15768563950035347,-0.11672729523455727,-0.19864398376614967,4.494875114501056e-14,0.7737499646843086,2020-02-15 00:00:00,2020-02-01 00:00:00,2020-01-23,57.0,26257100.0,119.0,24.16,9.19,13.0
Jilin,86.55003245978136,0.32407860292586954,0.99999999998303,1.4121897538092079,82.50104675296797,0.11644635653833832,0.4418734068057205,2020-02-04,2020-02-04,0.7282581249552273,0.7455405066899354,-0.18719940965272042,-0.13877678685818118,-0.23562203244725966,3.52926809071309e-14,0.7803313750035873,2020-02-18 00:00:00,2020-02-03 00:00:00,2020-01-20,151.0,27174300.0,93.0,8.6,4.21,15.0
Xinjiang,77.53979207519642,0.9213840303244818,0.37551558761160964,11.419889361464953,82.71276178031762,4.340390706787242,0.19859877956739816,2020-02-12,2020-02-07,0.6867286036325463,0.601168326899954,-0.08664230730780531,-0.06292101630481448,-0.11036359831079615,8.131267572544772e-13,0.5972233983742674,2020-02-21 00:00:00,2020-02-10 00:00:00,2020-01-23,13.1,24446700.0,76.0,11.45,6.3,17.5
Neimenggu,77.35514028216645,1.5647689166601548,0.27630833464303334,2.94413936357357,88.03447158399999,11.671384704216347,0.17696222581665288,2020-02-03,2020-02-03,0.5091187991343644,0.5116227555582109,-0.1351986178324397,-0.09174538203297378,-0.1786518536319056,1.072267497042945e-09,0.6786895285013754,2020-02-21 00:00:00,2020-02-03 00:00:00,2020-01-23,20.0,25286000.0,75.0,9.47,4.75,11.0
Ningxia,70.61115926861085,1.2709343533520985,0.2673067671798197,88.27827067619754,84.09662292768952,6.203317941858954,0.1700903844930713,2020-02-13,2020-02-04,0.5567049991991013,0.41285708130268395,-0.1016749844959878,-0.04876748472951207,-0.15458248426246354,0.0001654660204223492,0.5064677981690453,2020-02-19 00:00:00,2020-02-11 00:00:00,2020-01-20,85.0,6817900.0,75.0,5.04,2.47,19.5
Qinghai,18.293592174730513,1.197543027397392,0.13197702566122008,99.99999984754861,23.923060946463377,3.968462662882318,0.265343789992051,2020-02-04,2020-01-30,0.509304363000503,0.3968392591544816,-0.22720950046792493,-0.09197591880675851,-0.3624430821290914,0.0009910769585331307,0.7104632555177958,2020-02-10 00:00:00,2020-02-01 00:00:00,2020-01-24,7.2,5983800.0,18.0,4.36,1.85,8.5
JP,,,,,,,,,,,,,,,,,2020-01-21 00:00:00,2020-03-04 00:00:00,,,,,,,
